CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
5,0.013014497,260,0.016878893,"[17, 5, 6, 4, 9]"
5,0.071589876,260,0.092847064,"[17, 7, 5, 6]"
5,0.031729717,109,0.035383785,"[13, 3, 3, 3]"
5,0.135001211,127,0.153282672,"[16, 3, 3, 3]"
5,0.028229721,214,0.034965972,"[19, 5, 8]"
5,0.039330705,184,0.047276129,"[17, 5, 6]"
5,0.017178758,133,0.019622436,"[18, 2, 10]"
6,0.015510696,238,0.019678562,"[14, 7, 10]"
6,0.034877968,371,0.050544561,"[20, 8, 8, 7]"
6,0.015197555,182,0.018231202,"[15, 5, 8]"
6,0.014449202,229,0.018167589,"[14, 7, 9]"
6,0.015742385,160,0.01847386,"[17, 4, 6]"
6,0.015716192,192,0.019042846,"[15, 7, 3, 2]"
6,0.021031744,203,0.02576541,"[20, 6, 2]"
6,0.01040419,263,0.013534048,"[16, 8, 6, 3]"
7,0.008147535,176,0.00971543,"[16, 5, 4, 3]"
7,0.008421591,280,0.011142858,"[17, 10, 3, 3]"
7,0.008081604,107,0.008994294,"[16, 2, 3, 3]"
7,0.008024251,199,0.009791047,"[18, 5, 7]"
7,0.028836724,132,0.032905826,"[16, 3, 3, 4]"
7,0.01809711,174,0.021536566,"[15, 6, 4]"
7,0.014379232,220,0.017917627,"[14, 7, 8]"
7,0.010735292,191,0.012994636,"[19, 4, 7, 2]"
8,0.011605322,119,0.013071886,"[15, 3, 5]"
8,0.008560299,225,0.010720257,"[18, 6, 3, 7]"
8,0.008886059,193,0.010777748,"[14, 8, 3]"
8,0.012749983,230,0.016047128,"[15, 7, 8]"
8,0.00768985,192,0.009317564,"[18, 5, 4, 3]"
8,0.018540965,269,0.024263729,"[16, 6, 9, 5]"
8,0.008706333,227,0.010924967,"[18, 5, 11]"
8,0.007641474,228,0.009598344,"[18, 5, 6, 2, 7]"
9,0.008509621,224,0.010646141,"[18, 7, 4]"
9,0.008695538,203,0.010652665,"[14, 8, 4]"
9,0.007137857,204,0.008753141,"[18, 5, 4, 5]"
9,0.010681603,173,0.012698995,"[18, 2, 20]"
9,0.00993198,175,0.011831433,"[16, 7]"
9,0.007537352,127,0.008558037,"[16, 3, 3, 3]"
9,0.142782366,209,0.175971412,"[18, 6, 5]"
9,0.011005267,148,0.012760749,"[15, 4, 4, 3]"
2,0.0598128,73,0.064342456,[18]
2,0.064663317,77,0.069839104,[19]
2,0.291105487,109,0.32462988,"[17, 3]"
2,0.092766217,175,0.110507405,"[16, 7]"
2,0.044187121,77,0.04772395,[19]
2,0.076463086,155,0.089282731,"[16, 5, 3]"
2,0.066804768,149,0.07753849,"[18, 2, 14]"
2,0.060752554,73,0.065353378,[18]
3,0.035353055,203,0.043310054,"[14, 10]"
3,0.030532318,120,0.034425092,"[16, 3, 4]"
3,0.315715867,235,0.399351769,"[16, 8, 5]"
3,0.968259222,274,1.273468861,"[13, 7, 6, 11]"
3,0.177995431,235,0.225147981,"[16, 8, 5]"
3,0.032591029,124,0.036893562,"[17, 2, 4, 4]"
3,0.029237923,199,0.035675586,"[15, 9]"
3,0.119165902,175,0.14195593,"[15, 5, 7]"
4,0.020194715,134,0.023090492,"[15, 4, 4]"
4,0.036932813,142,0.042567898,"[19, 4]"
4,0.019242689,207,0.023668172,"[16, 6, 5, 3]"
4,0.020075447,406,0.030129282,"[13, 16, 6, 5]"
4,0.014316905,139,0.016451901,"[20, 3, 3]"
4,0.023579587,96,0.025955444,"[20, 1, 4, 1]"
4,0.151071219,308,0.205562757,"[12, 11, 6, 7]"
4,0.018253461,152,0.021249953,"[18, 3, 8]"
5,0.012501364,298,0.01684136,"[18, 10, 3, 4]"
5,0.017439556,237,0.02210361,"[17, 7, 3, 7]"
5,0.016457661,201,0.020121544,"[13, 7, 7]"
5,0.013868133,177,0.016553435,"[16, 5, 3, 5]"
5,0.016798742,276,0.022138186,"[17, 8, 6, 2, 3]"
5,0.015119055,264,0.019686948,"[17, 9, 3, 4]"
5,0.031244375,170,0.037034109,"[13, 5, 7, 2]"
5,0.130041688,170,0.154139044,"[16, 4, 7, 2]"
6,0.023319195,140,0.026823459,"[15, 4, 5]"
6,0.01140887,238,0.014474538,"[15, 5, 16]"
6,0.026863646,202,0.03287702,"[16, 7, 3, 2]"
6,0.009227294,223,0.011532461,"[20, 4, 13]"
6,0.015167157,214,0.018786384,"[19, 6, 3, 3]"
6,0.011926881,262,0.015499299,"[17, 8, 5, 3]"
6,0.011832542,137,0.013569892,"[18, 4, 1]"
6,0.012394912,138,0.014229056,"[14, 3, 10]"
7,0.01052216,182,0.012622532,"[18, 3, 4, 6, 3]"
7,0.009067806,251,0.011654942,"[16, 7, 7, 3]"
7,0.017176901,147,0.019896932,"[16, 4, 5]"
7,0.018084292,109,0.020166922,"[15, 3, 3]"
7,0.010618412,302,0.014362053,"[17, 11, 4]"
7,0.009885062,216,0.012268374,"[19, 4, 13]"
7,0.009799925,148,0.011363139,"[19, 3, 6]"
7,0.014531227,289,0.019400521,"[13, 9, 9, 3]"
8,0.007347608,251,0.009443954,"[18, 7, 7]"
8,0.009087779,183,0.010912736,"[16, 5, 7]"
8,0.015556003,197,0.01894323,"[16, 5, 9]"
8,0.009019074,180,0.010797792,"[19, 4, 7]"
8,0.009735097,199,0.01187859,"[16, 6, 6]"
8,0.01036256,310,0.014128574,"[17, 10, 3, 9]"
8,0.009000207,132,0.010270211,"[18, 3, 4]"
8,0.009058232,324,0.01252434,"[17, 11, 5, 2]"
9,0.007220801,337,0.010114458,"[18, 8, 13]"
9,0.021017871,153,0.02449265,"[14, 5, 5]"
9,0.04070015,163,0.04790557,"[17, 5, 3]"
9,0.191148347,162,0.224763741,"[19, 2, 16]"
9,0.008301724,135,0.009501628,"[18, 4]"
9,0.007346979,186,0.008848866,"[14, 5, 6, 4]"
9,0.022404838,162,0.026344958,"[16, 3, 8, 3]"
9,0.015651936,294,0.021001516,"[15, 12, 4]"
2,0.309407153,188,0.373402922,"[13, 6, 4, 6]"
2,0.06930829,182,0.083143208,"[20, 3, 4, 7]"
2,0.065184525,152,0.075885232,"[18, 3, 8]"
2,0.062624078,73,0.067366633,[18]
2,0.051743388,61,0.054997991,[15]
2,0.06494513,156,0.075909569,"[17, 3, 10]"
2,0.048792574,65,0.052069436,[16]
2,0.273388177,99,0.301838673,"[16, 1, 11]"
3,0.022983228,184,0.027626203,"[17, 6, 3]"
3,0.125575316,252,0.161564704,"[19, 7, 6]"
3,0.02244548,154,0.026182448,"[17, 5, 1, 2]"
3,0.121449987,136,0.139143051,"[17, 2, 4, 6]"
3,0.245425486,242,0.312621559,"[15, 10, 3]"
3,0.03456102,130,0.039359071,"[19, 2, 8]"
3,0.233327549,107,0.259678222,"[14, 4]"
3,0.346012196,173,0.411362172,"[14, 4, 6, 5]"
4,0.023639707,250,0.030353984,"[13, 14]"
4,0.140342549,236,0.17769813,"[17, 8, 4]"
4,0.155946454,220,0.194321247,"[13, 12]"
4,0.01749662,81,0.018972825,[20]
4,0.017745941,123,0.020068609,"[20, 2, 5]"
4,0.080903027,219,0.100710618,"[13, 7, 9]"
4,0.016132932,174,0.019199085,"[19, 5, 2, 1]"
4,0.016702157,193,0.020257759,"[20, 6]"
5,0.023861804,303,0.032306842,"[13, 11, 5, 7]"
5,0.017066633,183,0.020493859,"[13, 7, 5]"
5,0.01661344,193,0.020150155,"[18, 6, 3]"
5,0.012423051,277,0.016388071,"[20, 8, 1, 13]"
5,0.019200069,326,0.02660007,"[18, 9, 6, 5]"
5,0.017337073,254,0.022350465,"[16, 8, 3, 3, 6]"
5,0.015754827,194,0.019127877,"[13, 8, 4, 1]"
5,0.013353921,163,0.015718055,"[19, 3, 9]"
6,0.019625236,224,0.024552564,"[17, 6, 8]"
6,0.024761906,181,0.029675044,"[20, 4, 6]"
6,0.010326882,128,0.011737049,"[16, 3, 4, 2]"
6,0.014226937,82,0.015442712,"[17, 1, 4]"
6,0.119357605,194,0.144911625,"[15, 5, 8, 2]"
6,0.00946601,183,0.011366921,"[19, 3, 13]"
6,0.011933198,142,0.013753926,"[17, 4, 3]"
6,0.010919666,155,0.012750435,"[18, 5]"
7,0.014942448,155,0.017447668,"[16, 3, 11]"
7,0.009016795,223,0.011269376,"[17, 6, 5, 4]"
7,0.00944381,149,0.010961175,"[18, 4, 2, 2]"
7,0.010549532,177,0.01259225,"[17, 5, 5]"
7,0.028171821,223,0.035209721,"[17, 9]"
7,0.016757913,233,0.021154879,"[18, 4, 6, 9]"
7,0.021720313,105,0.024124983,"[13, 1, 17]"
7,0.012724165,134,0.014548719,"[18, 1, 20]"
8,0.00889629,144,0.010274184,"[17, 4, 1, 5]"
8,0.009730701,164,0.011464851,"[18, 5, 2]"
8,0.008178076,206,0.010048837,"[17, 7, 2, 3]"
8,0.009378651,199,0.01144366,"[18, 5, 7]"
8,0.014777207,160,0.017341213,"[17, 4, 6]"
8,0.011371319,149,0.013198383,"[17, 5, 1]"
8,0.00840454,164,0.009902349,"[16, 3, 7, 4]"
8,0.008647583,269,0.011316703,"[18, 7, 9]"
9,0.011090679,121,0.012517217,"[17, 3, 3]"
9,0.017629652,196,0.021446946,"[17, 4, 12]"
9,0.009910414,119,0.011162792,"[15, 3, 5]"
9,0.008580542,183,0.010303638,"[16, 6, 4]"
9,0.011933406,155,0.013934137,"[18, 5]"
9,0.007500233,206,0.009215936,"[16, 5, 4, 8]"
9,0.00876957,268,0.011464872,"[16, 5, 6, 5, 9]"
9,0.009460365,347,0.013384683,"[18, 13, 3]"
